"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                    Sentiment indicators - monthly data"	"ei_bssi_m_r2"	"dataset"	"30.03.2023"	"30.03.2023"	"1980M01"	"2023M03"	
"                    Services - monthly data"	"ei_bsse_m_r2"	"dataset"	"30.03.2023"	"30.03.2023"	"1988M01"	"2023M03"	
"                    Services - quarterly data"	"ei_bsse_q_r2"	"dataset"	"30.03.2023"	"30.01.2023"	"2001Q2"	"2023Q1"	
"                    Euro-zone Business Climate Indicator - monthly data"	"ei_bsci_m_r2"	"dataset"	"30.03.2023"	"30.03.2023"	"1985M01"	"2023M03"	
"                    Financial services - monthly data"	"ei_bsfs_m"	"dataset"	"30.03.2023"	"30.03.2023"	"2006M04"	"2023M03"	
"                    Financial services - quarterly data"	"ei_bsfs_q"	"dataset"	"30.03.2023"	"30.01.2023"	"2007Q3"	"2023Q1"	
"                    Employment expectations indicator"	"ei_bsee_m_r2"	"dataset"	"30.03.2023"	"30.03.2023"	"1980M01"	"2023M03"	
"            Consumer prices"	"ei_cp"	"folder"	" "	" "	" "	" "	
"                Harmonised index of consumer prices - monthly data"	"ei_cphi_m"	"dataset"	"19.04.2023"	"19.04.2023"	"1996M01"	"2023M03"	
"            Housing price statistics"	"ei_hp"	"folder"	" "	" "	" "	" "	
"                House price index (2015 = 100) - quarterly data"	"ei_hppi_q"	"dataset"	"05.04.2023"	"05.04.2023"	"2005Q1"	"2022Q4"	
"            Industry, trade and services"	"ei_is"	"folder"	" "	" "	" "	" "	
"                Industry - monthly data - index (2015 = 100) (NACE Rev. 2)"	"ei_isin_m"	"dataset"	"25.04.2023"	"25.04.2023"	"1980M01"	"2023M03"	
"                Industry - monthly data - growth rates (NACE Rev. 2)"	"ei_isir_m"	"dataset"	"25.04.2023"	"25.04.2023"	"1980M01"	"2023M03"	
"                Industry - quarterly data - index (2015 = 100) (NACE Rev. 2)"	"ei_isind_q"	"dataset"	"21.04.2023"	"21.04.2023"	"1989Q4"	"2022Q4"	
"                Construction - monthly data - index (2015 = 100) (NACE Rev. 2)"	"ei_isbu_m"	"dataset"	"25.04.2023"	"25.04.2023"	"1980M01"	"2023M03"	
"                Construction - monthly data - growth rates (NACE Rev. 2)"	"ei_isbr_m"	"dataset"	"25.04.2023"	"25.04.2023"	"1980M02"	"2023M03"	
"                Construction - quarterly data - index (2015 = 100) (NACE Rev. 2)"	"ei_isbu_q"	"dataset"	"25.04.2023"	"25.04.2023"	"1980Q1"	"2023Q1"	
"                Retail trade - monthly data - index (2015 = 100) (NACE Rev. 2)"	"ei_isrt_m"	"dataset"	"25.04.2023"	"25.04.2023"	"1991M01"	"2023M03"	
"                Retail trade - monthly data - growth rates (NACE Rev. 2)"	"ei_isrr_m"	"dataset"	"25.04.2023"	"25.04.2023"	"1991M02"	"2023M03"	
"                Retail trade - quarterly data (NACE Rev. 2)"	"ei_isrt_q"	"dataset"	"21.04.2023"	"21.04.2023"	"1989Q4"	"2022Q4"	
"                Turnover in services - quarterly data - index (2015 = 100)"	"ei_isset_q"	"dataset"	"21.04.2023"	"21.04.2023"	"1994Q1"	"2022Q4"	
"                Turnover in services - quarterly data - growth rates (NACE Rev.2)"	"ei_isse_q"	"dataset"	"21.04.2023"	"21.04.2023"	"1994Q2"	"2022Q4"	
"                Service producer prices - quarterly data - index (2015 = 100)"	"ei_isppi_q"	"dataset"	"25.04.2023"	"25.04.2023"	"1996Q1"	"2023Q1"	
"                Service producer prices - quarterly data - growth rates"	"ei_isppe_q"	"dataset"	"25.04.2023"	"25.04.2023"	"1996Q2"	"2023Q1"	
"            International trade"	"ei_et"	"folder"	" "	" "	" "	" "	
"                EU27 (from 2020) international trade - monthly data"	"ei_eteu27_2020_m"	"dataset"	"20.04.2023"	"20.04.2023"	"1999M01"	"2023M02"	
"                Euro area international trade - monthly data"	"ei_etea_m"	"dataset"	"20.04.2023"	"20.04.2023"	"1999M01"	"2023M02"	
"            Labour market"	"ei_lm"	"folder"	" "	" "	" "	" "	
"                Harmonised unemployment (1 000) - monthly data"	"ei_lmhu_m"	"dataset"	"20.04.2023"	"20.04.2023"	"1983M01"	"2023M03"	
"                Harmonised unemployment rates (%) - monthly data"	"ei_lmhr_m"	"dataset"	"20.04.2023"	"20.04.2023"	"1983M01"	"2023M03"	
"                Labour cost index, nominal value - quarterly data"	"ei_lmlc_q"	"dataset"	"21.03.2023"	"21.03.2023"	"1996Q1"	"2022Q4"	
"                Job vacancy rate"	"ei_lmjv_q_r2"	"dataset"	"20.03.2023"	"20.03.2023"	"2001Q1"	"2022Q4"	
"            Monetary and financial indicators"	"ei_mf"	"folder"	" "	" "	" "	" "	
"                Interest rates - monthly data"	"ei_mfir_m"	"dataset"	"15.04.2023"	"15.04.2023"	"1980M01"	"2023M03"	
"                Euro/Ecu exchange rates - monthly data"	"ei_mfrt_m"	"dataset"	"04.04.2023"	"04.04.2023"	"1999M01"	"2023M03"	
"                Effective exchange rates indices - monthly data"	"ei_mfef_m"	"dataset"	"29.03.2023"	"29.03.2023"	"1999M01"	"2022M12"	
"            National accounts"	"ei_qna"	"folder"	" "	" "	" "	" "	
"                GDP and main components (output, expenditure and income)"	"nama_10_gdp"	"dataset"	"24.04.2023"	"16.02.2023"	"1975"	"2022"	
"                Main GDP aggregates"	"ei_namq_10_ma"	"folder"	" "	" "	" "	" "	
"                    GDP and main components (output, expenditure and income)"	"namq_10_gdp"	"dataset"	"24.04.2023"	"20.02.2023"	"1975Q1"	"2022Q4"	
"                    Final consumption aggregates"	"namq_10_fcs"	"dataset"	"21.04.2023"	"20.02.2023"	"1978Q1"	"2022Q4"	
"                    Exports and imports by Member States of the EU/third countries"	"namq_10_exi"	"dataset"	"21.04.2023"	"14.02.2023"	"1980Q1"	"2022Q4"	
"                Basic breakdowns of main GDP aggregates and employment (by industry and assets)"	"ei_namq_10_bbr"	"folder"	" "	" "	" "	" "	
"                    Gross value added and income A*10 industry breakdowns"	"namq_10_a10"	"dataset"	"21.04.2023"	"16.02.2023"	"1975Q1"	"2022Q4"	
"                    Gross fixed capital formation with AN_F6 asset breakdowns"	"namq_10_an6"	"dataset"	"21.04.2023"	"20.02.2023"	"1978Q1"	"2022Q4"	
"                    Employment A*10 industry breakdowns"	"namq_10_a10_e"	"dataset"	"20.04.2023"	"20.04.2023"	"1975Q1"	"2023Q1"	
"                Quarterly sector accounts (ESA 2010)"	"ei_nasq_10"	"folder"	" "	" "	" "	" "	
"                    Key indicators - quarterly data"	"nasq_10_ki"	"dataset"	"14.04.2023"	"05.04.2023"	"1980Q1"	"2022Q4"	
"                    Non-financial transactions - quarterly data"	"nasq_10_nf_tr"	"dataset"	"14.04.2023"	"04.04.2023"	"1949Q1"	"2022Q4"	
"        Regional statistics by NUTS classification"	"reg"	"folder"	" "	" "	" "	" "	
"            Area by NUTS 3 region"	"reg_area3"	"dataset"	"31.01.2023"	"31.01.2023"	"2013"	"2022"	
"            Regional agriculture statistics"	"reg_agr"	"folder"	" "	" "	" "	" "	
"                Agri-environmental indicators"	"reg_aei"	"folder"	" "	" "	" "	" "	
"                    Estimated soil erosion by water, by erosion level, land cover and NUTS 3 regions (source: JRC)"	"aei_pr_soiler"	"dataset"	"18.12.2019"	"08.02.2021"	"2000"	"2016"	
"                    Manure storage facilities by NUTS 3 regions"	"aei_fm_ms"	"dataset"	"19.04.2023"	"08.02.2021"	"2000"	"2010"	
"                Structure of agricultural holdings"	"reg_ef"	"folder"	" "	" "	" "	" "	
"                    Structure of agricultural holdings 2010"	"reg_ef_2010"	"folder"	" "	" "	" "	" "	
"                        Key farm variables"	"reg_ef_kv"	"folder"	" "	" "	" "	" "	
"                            Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 regions"	"ef_kvaareg"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                            Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 regions"	"ef_kvecsleg"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                            Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 regions"	"ef_kvftreg"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                        Farm land use - Permanent crops, other farmland, irrigation"	"reg_ef_po"	"folder"	" "	" "	" "	" "	
"                            Land use: number of farms and areas of different crops by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_oluaareg"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                            Land use: number of farms and areas of different crops by economic size of farm (SO in Euro) and NUTS 2 regions"	"ef_oluecsreg"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                            Permanent crops: number of farms and areas by size of permanent crop area and NUTS 2 regions"	"ef_popermreg"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                            Irrigation: number of farms, areas and equipment by size of irrigated area and NUTS 2 regions"	"ef_poirrig"	"dataset"	"19.04.2018"	"08.02.2021"	"2005"	"2013"	
"                        Overview - farm livestock"	"reg_ef_ols"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads of animals of different types by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_olsaareg"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                            Livestock: number of farms and heads of animals by livestock units (LSU) of farm and NUTS 2 regions"	"ef_olslsureg"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                            Livestock: number of farms and heads of animals by economic size of farm (SO in Euro) and NUTS 2 regions"	"ef_olsecsreg"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                        Farm labour force and management"	"reg_ef_molf"	"folder"	" "	" "	" "	" "	
"                            Labour force: number of persons and farm work (AWU) by sex of workers and NUTS 2 regions"	"ef_olfreg"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                            Organic farming: number of farms, areas with different crops and heads of different types of animals by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_mporganic"	"dataset"	"16.01.2017"	"08.02.2021"	"2003"	"2013"	
"                            Type of tenure: number of farms and areas by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_mptenure"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                            Type of tenure: number of farms and areas by economic size of farm (SO in Euro) and NUTS 2 regions"	"ef_mptenurecs"	"dataset"	"16.01.2017"	"08.02.2021"	"2005"	"2013"	
"                    Structure of agricultural holdings - historical data (1990-2007)"	"reg_ef_h"	"folder"	" "	" "	" "	" "	
"                        Overview of agricultural holdings"	"reg_ef_ov"	"folder"	" "	" "	" "	" "	
"                            Key variables by legal status of holding, size of farm (UAA) and NUTS 2 regions"	"ef_ov_kvaa"	"dataset"	"27.03.2009"	"08.02.2021"	"1990"	"2007"	
"                            Key variables by type of farming (2-digit) and NUTS 2 regions"	"ef_ov_kvftreg"	"dataset"	"27.03.2009"	"08.02.2021"	"2000"	"2007"	
"                        Land use"	"reg_ef_lu"	"folder"	" "	" "	" "	" "	
"                            Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 regions"	"ef_lu_ovcropaa"	"dataset"	"27.03.2009"	"08.02.2021"	"1990"	"2007"	
"                            Farmland: number of farms and areas by economic size of farm (ESU) and NUTS 2 regions"	"ef_lu_ovcropesu"	"dataset"	"27.03.2009"	"08.02.2021"	"1990"	"2007"	
"                            Permanent crops: number of farms and areas by size of farm (UAA), size of permanent crop area and NUTS 2 regions"	"ef_lu_pcreg"	"dataset"	"27.03.2009"	"08.02.2021"	"1990"	"2007"	
"                            Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 regions"	"ef_lu_ofirrig"	"dataset"	"27.03.2009"	"08.02.2021"	"1990"	"2007"	
"                        Livestock"	"reg_ef_ls"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 regions"	"ef_ls_ovaareg"	"dataset"	"27.03.2009"	"08.02.2021"	"1990"	"2007"	
"                            Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 regions"	"ef_ls_ovlsureg"	"dataset"	"27.03.2009"	"08.02.2021"	"1990"	"2007"	
"                            Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 regions"	"ef_ls_ovesu"	"dataset"	"27.03.2009"	"08.02.2021"	"1990"	"2007"	
"                        Special interest topics"	"reg_ef_so"	"folder"	" "	" "	" "	" "	
"                            Organic farming: selected variables by size of farm (UAA) and NUTS 2 regions"	"ef_so_mporg"	"dataset"	"17.04.2009"	"08.02.2021"	"2000"	"2007"	
"                            Type of tenure: number of farms and areas by size of farm (UAA) and NUTS 2 regions"	"ef_so_mptenure"	"dataset"	"27.03.2009"	"08.02.2021"	"1990"	"2007"	
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, size of farm (UAA) and NUTS 2 regions"	"ef_so_lfaa"	"dataset"	"14.04.2009"	"08.02.2021"	"1990"	"2007"	
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, economic size of farm (ESU) and NUTS 2 regions"	"ef_so_lfesu"	"dataset"	"14.04.2009"	"08.02.2021"	"1990"	"2007"	
"                        Structure of agricultural holdings by NUTS 3 regions - main indicators"	"ef_r_nuts"	"dataset"	"10.09.2009"	"08.02.2021"	"2000"	"2007"	
"                Agricultural production"	"reg_apro"	"folder"	" "	" "	" "	" "	
"                    Animal populations by NUTS 2 regions"	"agr_r_animal"	"dataset"	"31.03.2023"	"16.02.2023"	"1977"	"2022"	
"                    Production of cow's milk on farms by NUTS 2 regions"	"agr_r_milkpr"	"dataset"	"10.10.2022"	"07.09.2022"	"1995"	"2021"	
"                Economic accounts for agriculture by NUTS 2 regions"	"agr_r_accts"	"dataset"	"07.03.2023"	"13.12.2022"	"1980"	"2021"	
"            Regional demographic statistics"	"reg_dem"	"folder"	" "	" "	" "	" "	
"                Population and area"	"reg_dempoar"	"folder"	" "	" "	" "	" "	
"                    Population on 1 January by age, sex and NUTS 2 region"	"demo_r_d2jan"	"dataset"	"13.04.2023"	"30.03.2023"	"1990"	"2022"	
"                    Area by NUTS 3 region"	"demo_r_d3area"	"dataset"	"25.08.2020"	"08.02.2021"	"1990"	"2015"	
"                    Population density by NUTS 3 region"	"demo_r_d3dens"	"dataset"	"19.04.2023"	"19.04.2023"	"1990"	"2022"	
"                    Population on 1 January by age group, sex and NUTS 2 region"	"demo_r_pjangroup"	"dataset"	"13.04.2023"	"30.03.2023"	"1990"	"2022"	
"                    Population on 1 January by age group, sex and NUTS 3 region"	"demo_r_pjangrp3"	"dataset"	"13.04.2023"	"30.03.2023"	"2014"	"2022"	
"                    Population on 1 January by broad age group, sex and NUTS 3 region"	"demo_r_pjanaggr3"	"dataset"	"13.04.2023"	"30.03.2023"	"1990"	"2022"	
"                    Population structure indicators by NUTS 2 region"	"demo_r_pjanind2"	"dataset"	"31.03.2023"	"20.03.2023"	"1990"	"2022"	
"                    Population structure indicators by NUTS 3 region"	"demo_r_pjanind3"	"dataset"	"31.03.2023"	"20.03.2023"	"2014"	"2022"	
"                    Population change - Demographic balance and crude rates at regional level (NUTS 3) "	"demo_r_gind3"	"dataset"	"14.04.2023"	"14.04.2023"	"2000"	"2022"	
"                Fertility"	"reg_demfer"	"folder"	" "	" "	" "	" "	
"                    Live births (total) by NUTS 3 region"	"demo_r_births"	"dataset"	"03.04.2023"	"28.03.2023"	"1990"	"2021"	
"                    Live births by age group of the mothers and NUTS 3 region"	"demo_r_fagec3"	"dataset"	"12.04.2023"	"28.03.2023"	"2013"	"2021"	
"                    Fertility rates by age and NUTS 2 region"	"demo_r_frate2"	"dataset"	"03.04.2023"	"28.03.2023"	"1990"	"2021"	
"                    Fertility indicators by NUTS 2 region"	"demo_r_find2"	"dataset"	"03.04.2023"	"20.03.2023"	"1990"	"2021"	
"                Mortality"	"reg_demmor"	"folder"	" "	" "	" "	" "	
"                    Deaths (total) by NUTS 3 region"	"demo_r_deaths"	"dataset"	"03.04.2023"	"10.03.2023"	"1990"	"2021"	
"                    Deaths by week, sex, 5-year age group and NUTS 3 region"	"demo_r_mweek3"	"dataset"	"22.04.2023"	"22.04.2023"	"2000W01"	"2023W15"	
"                    Deaths by age group, sex and NUTS 3 region"	"demo_r_magec3"	"dataset"	"03.04.2023"	"28.03.2023"	"2013"	"2021"	
"                    Deaths by age, sex and NUTS 2 region"	"demo_r_magec"	"dataset"	"03.04.2023"	"28.03.2023"	"1990"	"2021"	
"                    Infant mortality by NUTS 2 region"	"demo_r_minf"	"dataset"	"03.04.2023"	"28.03.2023"	"1990"	"2021"	
"                    Life table by age, sex and NUTS 2 region"	"demo_r_mlife"	"dataset"	"03.04.2023"	"20.03.2023"	"1990"	"2021"	
"                    Life expectancy by age, sex and NUTS 2 region"	"demo_r_mlifexp"	"dataset"	"03.04.2023"	"09.03.2023"	"1990"	"2021"	
"                Census 2011 round"	"reg_cens_11r"	"folder"	" "	" "	" "	" "	
"                    Data on persons"	"cens_11rdp"	"folder"	" "	" "	" "	" "	
"                        Population structure"	"cens_11rstr"	"folder"	" "	" "	" "	" "	
"                            Population by single year of age and NUTS 3 region"	"cens_11ag_r3"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                        Population by family characteristics"	"cens_11rfc"	"folder"	" "	" "	" "	" "	
"                            Population by marital status and NUTS 3 region"	"cens_11ms_r3"	"dataset"	"01.04.2019"	"08.02.2021"	"2011"	"2011"	
"                            Population by family status and NUTS 3 region"	"cens_11fs_r3"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                        Population by employment characteristics"	"cens_11rec"	"folder"	" "	" "	" "	" "	
"                            Population by current activity status, educational attainment level and NUTS 2 region"	"cens_11aed_r2"	"dataset"	"01.04.2019"	"08.02.2021"	"2011"	"2011"	
"                            Population by current activity status, occupation and NUTS 2 region"	"cens_11ao_r2"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                            Population by current activity status, NACE Rev. 2 activity and NUTS 2 region"	"cens_11an_r2"	"dataset"	"23.07.2015"	"08.02.2021"	"2011"	"2011"	
"                            Population by status in employment, occupation and NUTS 2 region"	"cens_11empo_r2"	"dataset"	"01.04.2019"	"08.02.2021"	"2011"	"2011"	
"                            Population by status in employment, NACE Rev. 2 activity and NUTS 2 region"	"cens_11empn_r2"	"dataset"	"22.07.2015"	"08.02.2021"	"2011"	"2011"	
"                        Population by migration characteristics"	"cens_11rmc"	"folder"	" "	" "	" "	" "	
"                            Population by country of citizenship at national level"	"cens_11ctz_n"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                            Population by group of citizenship, occupation and NUTS 2 region"	"cens_11ctzo_r2"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                            Population by country of birth at national level"	"cens_11cob_n"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                            Population by group of country of birth, educational attainment level and NUTS 2 region"	"cens_11cobe_r2"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                            Population by group of country of birth, current activity status and NUTS 2 region"	"cens_11coba_r2"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                            Population by group of country of birth, occupation and NUTS 2 region"	"cens_11cobo_r2"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                            Population by period of arrival in the country, country of birth and NUTS 2 region"	"cens_11arco_r2"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                    Data on families and households"	"cens_11rdf"	"folder"	" "	" "	" "	" "	
"                        Families by type, size and NUTS 3 region"	"cens_11fts_r3"	"dataset"	"23.04.2015"	"08.02.2021"	"2011"	"2011"	
"                        Private households by type, tenure status and NUTS 2 region"	"cens_11htts_r2"	"dataset"	"23.04.2015"	"08.02.2021"	"2011"	"2011"	
"                    Data on dwellings and housing arrangements"	"cens_11rdd"	"folder"	" "	" "	" "	" "	
"                        Population by housing arrangement and NUTS 2 region"	"cens_11hou_r2"	"dataset"	"26.08.2015"	"08.02.2021"	"2011"	"2011"	
"                        Conventional dwellings by occupancy status, type of building and NUTS 3 region"	"cens_11dwob_r3"	"dataset"	"23.04.2015"	"08.02.2021"	"2011"	"2011"	
"                Census 2001 round"	"reg_cens_01r"	"folder"	" "	" "	" "	" "	
"                    Population structure"	"cens_01rstr"	"folder"	" "	" "	" "	" "	
"                        Population by sex, citizenship and NUTS 3 regions"	"cens_01rsctz"	"dataset"	"26.03.2009"	"08.02.2021"	"2001"	"2001"	
"                    Active population"	"cens_01ract"	"folder"	" "	" "	" "	" "	
"                        Population by sex, age group, current activity status and NUTS 3 regions"	"cens_01rapop"	"dataset"	"26.03.2009"	"08.02.2021"	"2001"	"2001"	
"                        Total and active population by sex, age, employment status, residence one year prior to the census and NUTS 3 regions"	"cens_01ramigr"	"dataset"	"26.03.2009"	"08.02.2021"	"2001"	"2001"	
"                        Employed persons aged 15 and over by sex, citizenship, economic activity (NACE Rev. 1), status in employment and NUTS 3 regions"	"cens_01ractz"	"dataset"	"26.03.2009"	"08.02.2021"	"2001"	"2001"	
"                    Educational attainment level"	"cens_01redu"	"folder"	" "	" "	" "	" "	
"                        Employed persons by sex, age group, educational attainment level, occupation (ISCO-88) and NUTS 3 regions"	"cens_01reisco"	"dataset"	"26.03.2009"	"08.02.2021"	"2001"	"2001"	
"                        Population by sex, age group, educational attainment level, current activity status and NUTS 3 regions"	"cens_01rews"	"dataset"	"26.03.2009"	"08.02.2021"	"2001"	"2001"	
"                    Households"	"cens_01rhou"	"folder"	" "	" "	" "	" "	
"                        Population by sex, age group, household status and NUTS 3 regions"	"cens_01rhtype"	"dataset"	"26.03.2009"	"08.02.2021"	"2001"	"2001"	
"                        Population by sex, age group, size of household and NUTS 3 regions"	"cens_01rhsize"	"dataset"	"09.02.2011"	"08.02.2021"	"2001"	"2001"	
"                        Private households by composition, size and NUTS 3 regions"	"cens_01rheco"	"dataset"	"26.03.2009"	"08.02.2021"	"2001"	"2001"	
"                        Private households by composition, age group of children and NUTS 3 regions"	"cens_01rhagchi"	"dataset"	"26.03.2009"	"08.02.2021"	"2001"	"2001"	
"                    Dwellings"	"cens_01rdws"	"folder"	" "	" "	" "	" "	
"                        Dwellings by type of housing, building and NUTS 3 regions"	"cens_01rdhh"	"dataset"	"10.09.2009"	"08.02.2021"	"2001"	"2001"	
"                        Persons by type of building and NUTS 3 regions"	"cens_01rdbuild"	"dataset"	"26.03.2009"	"08.02.2021"	"2001"	"2001"	
"            Regional economic accounts"	"reg_eco10"	"folder"	" "	" "	" "	" "	
"                Gross domestic product indicators"	"reg_eco10gdp"	"folder"	" "	" "	" "	" "	
"                    Gross domestic product (GDP) at current market prices by NUTS 2 regions"	"nama_10r_2gdp"	"dataset"	"21.02.2023"	"19.02.2023"	"2000"	"2021"	
"                    Average annual population to calculate regional GDP data (thousand persons) by NUTS 3 regions"	"nama_10r_3popgdp"	"dataset"	"21.02.2023"	"19.02.2023"	"2000"	"2021"	
"                    Gross domestic product (GDP) at current market prices by NUTS 3 regions"	"nama_10r_3gdp"	"dataset"	"21.02.2023"	"19.02.2023"	"2000"	"2021"	
"                    Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 regions"	"nama_10r_2gvagr"	"dataset"	"11.04.2023"	"20.02.2023"	"1995"	"2021"	
"                Branch and household accounts"	"reg_eco10brch"	"folder"	" "	" "	" "	" "	
"                    Gross value added at basic prices by NUTS 3 regions"	"nama_10r_3gva"	"dataset"	"21.02.2023"	"19.02.2023"	"1995"	"2021"	
"                    Gross fixed capital formation by NUTS 2 regions"	"nama_10r_2gfcf"	"dataset"	"21.02.2023"	"19.02.2023"	"1995"	"2021"	
"                    Compensation of employees by NUTS 2 regions"	"nama_10r_2coe"	"dataset"	"21.02.2023"	"19.02.2023"	"1995"	"2021"	
"                    Employment (thousand persons) by NUTS 3 regions"	"nama_10r_3empers"	"dataset"	"21.02.2023"	"19.02.2023"	"1995"	"2021"	
"                    Employment (thousand hours worked) by NUTS 2 regions"	"nama_10r_2emhrw"	"dataset"	"21.02.2023"	"19.02.2023"	"1995"	"2021"	
"                    Income of households by NUTS 2 regions"	"nama_10r_2hhinc"	"dataset"	"21.02.2023"	"21.02.2023"	"1995"	"2021"	
"            Regional education statistics"	"reg_educ"	"folder"	" "	" "	" "	" "	
"                Regional education statistics - ISCED 2011"	"reg_educ_11"	"folder"	" "	" "	" "	" "	
"                    Pupils enrolled in early childhood education by sex and NUTS2 regions"	"educ_uoe_enrp03"	"dataset"	"10.03.2023"	"10.03.2023"	"2013"	"2021"	
"                    Pupils enrolled in primary education by sex and NUTS2 regions"	"educ_uoe_enrp06"	"dataset"	"10.03.2023"	"10.03.2023"	"2013"	"2021"	
"                    Pupils enrolled in lower-secondary education by programme orientation, sex and NUTS2 regions"	"educ_uoe_enrs03"	"dataset"	"10.03.2023"	"10.03.2023"	"2013"	"2021"	
"                    Pupils enrolled in upper secondary education by programme orientation, sex and NUTS2 regions"	"educ_uoe_enrs06"	"dataset"	"10.03.2023"	"10.03.2023"	"2013"	"2021"	
"                    Pupils enrolled in post-secondary non-tertiary education by programme orientation, sex and NUTS2 regions"	"educ_uoe_enrs09"	"dataset"	"10.03.2023"	"10.03.2023"	"2013"	"2021"	
